更新时间: 2026-02-06 20:40:11（北京时间）

更新时间,#genre#
2026-02-06 20:40:11,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV5+,http://171.83.96.76:8005/rtp/239.254.96.234:9484?$湖北电信$湖北电信
CCTV5+,http://139.189.80.48:4022/udp/239.253.64.100:5140?$海南电信$海南电信
CCTV5+,http://139.189.80.48:4022/rtp/239.253.64.100:5140?$海南电信$海南电信
CCTV6,http://125.109.50.223:10000/udp/233.50.201.18:5140?$浙江电信$浙江电信
CCTV6,http://171.83.50.254:1234/udp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://171.83.50.254:1234/rtp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://183.188.229.100:6000/udp/226.0.2.23:8096?$山西联通$山西联通
CCTV6,http://183.188.229.100:6000/rtp/226.0.2.210:9592?$山西联通$山西联通
CCTV6,http://171.83.96.76:8005/udp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://171.83.96.76:8005/rtp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://117.82.88.141:5555/udp/239.49.1.6:6000?$江苏电信$江苏电信
CCTV6,http://139.189.80.48:4022/udp/239.253.64.246:5140?$海南电信$海南电信
CCTV6,http://139.189.80.48:4022/rtp/239.253.64.246:5140?$海南电信$海南电信
CCTV6,http://180.105.184.135:4000/udp/239.49.1.6:6000?$江苏电信$江苏电信
CCTV7,http://125.109.50.223:10000/udp/233.50.201.7:5140?$浙江电信$浙江电信
CCTV7,http://171.83.50.254:1234/udp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://171.83.50.254:1234/rtp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://183.188.229.100:6000/udp/226.0.2.24:8104?$山西联通$山西联通
CCTV7,http://183.188.229.100:6000/rtp/226.0.2.159:9184?$山西联通$山西联通
CCTV7,http://171.83.96.76:8005/udp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://171.83.96.76:8005/rtp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://117.82.88.141:5555/udp/239.49.1.254:6000?$江苏电信$江苏电信
CCTV7,http://139.189.80.48:4022/udp/239.253.64.54:5140?$海南电信$海南电信
CCTV7,http://139.189.80.48:4022/udp/239.253.64.16:5140?$海南电信$海南电信
CCTV7,http://139.189.80.48:4022/rtp/239.253.64.54:5140?$海南电信$海南电信
CCTV7,http://180.105.184.135:4000/udp/239.49.1.254:6000?$江苏电信$江苏电信
CCTV8,http://125.109.50.223:10000/udp/233.50.201.19:5140?$浙江电信$浙江电信
CCTV8,http://171.83.50.254:1234/udp/239.69.1.125:10388?$湖北电信$湖北电信
CCTV8,http://171.83.50.254:1234/rtp/239.69.1.125:10388?$湖北电信$湖北电信
CCTV8,http://183.188.229.100:6000/udp/226.0.2.25:8112?$山西联通$山西联通
CCTV8,http://183.188.229.100:6000/rtp/226.0.2.211:9600?$山西联通$山西联通
CCTV8,http://171.83.96.76:8005/udp/239.69.1.125:10388?$湖北电信$湖北电信
CCTV8,http://171.83.96.76:8005/rtp/239.69.1.125:10388?$湖北电信$湖北电信
CCTV8,http://117.82.88.141:5555/udp/239.49.1.8:6000?$江苏电信$江苏电信
CCTV8,http://139.189.80.48:4022/udp/239.253.64.247:5140?$海南电信$海南电信
CCTV8,http://139.189.80.48:4022/rtp/239.253.64.247:5140?$海南电信$海南电信
CCTV8,http://180.105.184.135:4000/udp/239.49.1.8:6000?$江苏电信$江苏电信
CCTV9,http://171.83.50.254:1234/udp/239.69.1.104:10262?$湖北电信$湖北电信
CCTV9,http://171.83.50.254:1234/rtp/239.69.1.104:10262?$湖北电信$湖北电信
CCTV9,http://183.188.229.100:6000/udp/226.0.2.26:8120?$山西联通$山西联通
CCTV9,http://183.188.229.100:6000/rtp/226.0.2.161:9200?$山西联通$山西联通
CCTV9,http://171.83.96.76:8005/udp/239.69.1.104:10262?$湖北电信$湖北电信
CCTV9,http://171.83.96.76:8005/rtp/239.69.1.104:10262?$湖北电信$湖北电信
CCTV9,http://139.189.80.48:4022/udp/239.253.64.76:5140?$海南电信$海南电信
CCTV9,http://139.189.80.48:4022/udp/239.253.64.242:5140?$海南电信$海南电信
CCTV9,http://139.189.80.48:4022/rtp/239.253.64.76:5140?$海南电信$海南电信
CCTV10,http://125.109.50.223:10000/udp/233.50.201.10:5140?$浙江电信$浙江电信
CCTV10,http://171.83.50.254:1234/udp/239.69.1.105:10268?$湖北电信$湖北电信
CCTV10,http://171.83.50.254:1234/rtp/239.69.1.105:10268?$湖北电信$湖北电信
CCTV10,http://183.188.229.100:6000/udp/226.0.2.27:8128?$山西联通$山西联通
CCTV10,http://183.188.229.100:6000/rtp/226.0.2.162:9208?$山西联通$山西联通
CCTV10,http://171.83.96.76:8005/udp/239.69.1.105:10268?$湖北电信$湖北电信
CCTV10,http://171.83.96.76:8005/rtp/239.69.1.105:10268?$湖北电信$湖北电信
CCTV10,http://117.82.88.141:5555/udp/239.49.1.10:6000?$江苏电信$江苏电信
CCTV10,http://139.189.80.48:4022/udp/239.253.64.87:5140?$海南电信$海南电信
CCTV10,http://139.189.80.48:4022/udp/239.253.64.18:5140?$海南电信$海南电信
CCTV10,http://139.189.80.48:4022/rtp/239.253.64.87:5140?$海南电信$海南电信
CCTV10,http://180.105.184.135:4000/udp/239.49.1.10:6000?$江苏电信$江苏电信
CCTV11,http://171.83.50.254:1234/udp/239.69.1.154:10560?$湖北电信$湖北电信
CCTV11,http://171.83.50.254:1234/rtp/239.69.1.154:10560?$湖北电信$湖北电信
